trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
93,False,"{'a': 0.1, 'e': 0.1527654133138631}",20,6,21.061101259321234,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.1, 'e': 0.1497101050475858}",25,9,15.0505682289651,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.1, 'e': 0.14671590294663409}",25,7,4.329942380424035,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.1, 'e': 0.1437815848877014}",30,13,12.879528512953662,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.1, 'e': 0.1409059531899474}",30,4,29.476391361949698,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.1, 'e': 0.13808783412614842}",20,13,11.47600889386885,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.1, 'e': 0.13532607744362546}",20,15,-10.931082248826831,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
100,False,"{'a': 0.1, 'e': 0.13261955589475294}",30,0,17.681526291204193,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",1
101,False,"{'a': 0.1, 'e': 0.12996716477685788}",35,12,8.647286388290825,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
102,False,"{'a': 0.1, 'e': 0.12736782148132073}",30,0,6.704857988125335,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",1
103,False,"{'a': 0.1, 'e': 0.12482046505169431}",20,5,22.456720992944224,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.1, 'e': 0.12232405575066042}",20,10,-5.555070749938135,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.1, 'e': 0.11987757463564722}",20,10,9.967116729345431,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.1, 'e': 0.11748002314293426}",20,14,8.292900931298488,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.1, 'e': 0.11513042268007558}",25,0,-6.789666051260789,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
108,False,"{'a': 0.1, 'e': 0.11282781422647406}",25,9,26.85574442383627,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.1, 'e': 0.11057125794194458}",20,0,29.527426178898416,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.1, 'e': 0.10835983278310568}",20,9,3.588887253550249,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.1, 'e': 0.10619263612744358}",25,0,13.918872140527647,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
112,False,"{'a': 0.1, 'e': 0.1040687834048947}",25,0,20.469793386501287,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
113,False,"{'a': 0.1, 'e': 0.1019874077367968}",20,0,30.076619134179523,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
114,False,"{'a': 0.1, 'e': 0.09994765958206087}",20,1,13.68122275200804,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.1, 'e': 0.09794870639041964}",30,14,15.293004832907966,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.1, 'e': 0.09598973226261125}",30,8,36.702407341980596,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.1, 'e': 0.09406993761735902}",20,0,-21.874479714385334,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
118,False,"{'a': 0.1, 'e': 0.09218853886501184}",20,3,14.98838648168447,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.1, 'e': 0.09034476808771161}",20,0,28.798027943584838,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.1, 'e': 0.08853787272595737}",30,0,27.272603744056237,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
121,False,"{'a': 0.1, 'e': 0.08676711527143822}",20,0,32.167464342688014,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.1, 'e': 0.08503177296600946}",35,2,38.225028479315206,"{0: 31, 1: 1, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.1, 'e': 0.08333113750668926}",25,9,30.263117443732636,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.1, 'e': 0.08166451475655548}",20,0,35.69493520472096,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.1, 'e': 0.08003122446142437}",25,14,15.114986748152848,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.1, 'e': 0.07843059997219588}",20,11,16.876406088645815,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.1, 'e': 0.07686198797275196}",20,6,4.686993807962281,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
128,False,"{'a': 0.1, 'e': 0.07532474821329692}",20,6,-1.1196609065749192,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.1, 'e': 0.07381825324903098}",30,16,27.443113852159257,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.1, 'e': 0.07234188818405035}",25,3,23.857601300772664,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.1, 'e': 0.07089505042036935}",20,2,25.00101219675352,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.1, 'e': 0.06947714941196197}",20,11,19.102528950759485,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.1, 'e': 0.06808760642372272}",30,7,35.08062506445501,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.1, 'e': 0.06672585429524826}",20,0,15.656332490746996,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
135,False,"{'a': 0.1, 'e': 0.0653913372093433}",20,8,21.491785729728125,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.1, 'e': 0.06408351046515644}",20,0,-16.5659067730421,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
137,False,"{'a': 0.1, 'e': 0.0628018402558533}",25,2,31.397632008640556,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.1, 'e': 0.061545803450736236}",20,11,3.706066274261665,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.1, 'e': 0.060314887381721506}",25,11,22.087464010279874,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.1, 'e': 0.05910858963408708}",25,12,24.236905487551958,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.1, 'e': 0.057926417841405335}",30,13,29.402106141818624,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.1, 'e': 0.05676788948457723}",30,15,27.102816107677093,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.1, 'e': 0.05563253169488568}",30,3,38.731349282319,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.1, 'e': 0.054519881060987964}",25,13,21.151226284918167,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.1, 'e': 0.05342948343976821}",25,14,19.55566621238775,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.1, 'e': 0.05236089377097284}",30,16,24.40376959241122,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.1, 'e': 0.051313675895553384}",30,15,-18.502923304654132,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.1, 'e': 0.050287402377642315}",30,4,39.68038519840762,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
