trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
191,False,"{'a': 0.1, 'e': 0.02109504505389723}",20,7,20.168587447019434,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.1, 'e': 0.020673144152819286}",35,20,30.582366707522624,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.1, 'e': 0.0202596812697629}",25,5,29.051137937896762,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.1, 'e': 0.019854487644367643}",25,13,20.93334957747283,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.1, 'e': 0.01945739789148029}",25,0,30.426024776281793,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
196,False,"{'a': 0.1, 'e': 0.019068249933650683}",25,11,23.953081584064982,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.1, 'e': 0.01868688493497767}",25,14,-1.994152611629453,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.1, 'e': 0.018313147236278113}",25,0,39.122142797596375,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
199,False,"{'a': 0.1, 'e': 0.017946884291552553}",25,6,36.123738269752,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.1, 'e': 0.0175879466057215}",25,0,32.76725998093436,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
201,False,"{'a': 0.1, 'e': 0.01723618767360707}",25,0,33.99482702261542,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
202,False,"{'a': 0.1, 'e': 0.01689146392013493}",20,12,14.767883306851726,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.1, 'e': 0.01655363464173223}",30,0,22.196439217429422,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",1
204,False,"{'a': 0.1, 'e': 0.016222561948897585}",25,0,39.97147065419624,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
205,False,"{'a': 0.1, 'e': 0.015898110709919634}",25,7,28.92303435762618,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.1, 'e': 0.01558014849572124}",20,0,32.91717571158374,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
207,False,"{'a': 0.1, 'e': 0.015268545525806814}",20,12,13.761348392480151,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.1, 'e': 0.014963174615290679}",20,9,16.855707631910143,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.1, 'e': 0.014663911122984865}",25,2,40.440652275822735,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.1, 'e': 0.014370632900525168}",20,0,30.569599925691715,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
211,False,"{'a': 0.1, 'e': 0.014083220242514663}",25,11,6.971921129568324,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.1, 'e': 0.01380155583766437}",25,8,30.2360162015342,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.1, 'e': 0.013525524720911083}",35,11,39.18873689137704,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.1, 'e': 0.01325501422649286}",20,0,15.635835135885356,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
215,False,"{'a': 0.1, 'e': 0.012989913941963003}",20,11,19.759305477408667,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.1, 'e': 0.012730115663123744}",20,0,28.466545611232107,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
217,False,"{'a': 0.1, 'e': 0.012475513349861267}",20,5,23.211477057157254,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.1, 'e': 0.012226003082864043}",30,16,20.71137410213626,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.1, 'e': 0.011981483021206761}",20,0,31.24811840190413,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
220,False,"{'a': 0.1, 'e': 0.011741853360782626}",20,5,25.11941529996039,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.1, 'e': 0.011507016293566973}",20,0,30.222262659432754,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
222,False,"{'a': 0.1, 'e': 0.011276875967695634}",30,18,21.04184099536996,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.1, 'e': 0.01105133844834172}",25,16,14.602932842122602,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.1, 'e': 0.010830311679374887}",25,15,18.564880346330014,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.1, 'e': 0.010613705445787387}",20,8,19.440411343884918,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.1, 'e': 0.010401431336871641}",25,11,21.801450087355427,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.1, 'e': 0.010193402710134207}",30,14,17.90779816322794,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.1, 'e': 0.009989534655931522}",25,9,29.312853383404917,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,13,31.058983364698662,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,6,27.32848956305014,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,14,10.443846967336286,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,9,19.1858625487423,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,9,18.406768969152967,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,13,22.316472956516403,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,3,37.86848061653203,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,0,43.13194337395231,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,36.27533067085868,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,8,28.583837727798535,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
